HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.Correctness.label,Approve,Reject
363A7XIFV4H3MDWWP1GQUK1TYXVAVC,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3DR23U6WE69TMI7CQDNZD5ZN6JPTE6,A12TSLY8GXWHB4,Submitted,Thu Nov 05 17:17:20 PST 2020,Thu Nov 05 17:22:34 PST 2020,Sun Nov 08 17:22:34 PST 2020,,,,314,0% (0/0),0% (0/0),0% (0/0),"A lands on their head, B does not, so A is not more uncoordinated than B","A lands on their head, B does not, so A is not less uncoordinated than B",Sentence 2 follows commonsense,,
363A7XIFV4H3MDWWP1GQUK1TYXVAVC,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3O7L7BFSHFK3D4R1W1OVZYXEV29IEE,A1PUOSCN106A97,Submitted,Thu Nov 05 17:15:03 PST 2020,Thu Nov 05 17:17:09 PST 2020,Sun Nov 08 17:17:09 PST 2020,,,,126,0% (0/0),0% (0/0),0% (0/0),"A lands on their head, B does not, so A is not more uncoordinated than B","A lands on their head, B does not, so A is not less uncoordinated than B",Sentence 2 follows commonsense,,
324N5FAHSX69YQ5I1STFOY4P39PKV1,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3B3WTRP3DCXI7NMIZNNHK4PMF9W92K,A22VGT2F28LTWC,Submitted,Thu Nov 05 17:16:12 PST 2020,Thu Nov 05 17:16:24 PST 2020,Sun Nov 08 17:16:24 PST 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),"A rides the roller coaster while B does not, so B is less daring than A","A rides the roller coaster while B does not, so B is more daring than A",Statement 1 follows commonsense,,
324N5FAHSX69YQ5I1STFOY4P39PKV1,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3QIYRE09Y4CW748GHT68XMA1SSZN1G,A12ATVBE1I4567,Submitted,Thu Nov 05 17:19:37 PST 2020,Thu Nov 05 17:21:01 PST 2020,Sun Nov 08 17:21:01 PST 2020,,,,84,0% (0/0),0% (0/0),0% (0/0),"A rides the roller coaster while B does not, so B is less daring than A","A rides the roller coaster while B does not, so B is more daring than A",Statement 1 follows commonsense,,
39HYCOOPKOGIUX5ZVJ61XPQMS7GDM0,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3BQU611VFQFT777HKW2WURX0LF699C,AYYSG3O9FNU15,Submitted,Thu Nov 05 17:16:45 PST 2020,Thu Nov 05 17:16:55 PST 2020,Sun Nov 08 17:16:55 PST 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),"A talks about their feelings while B does not, so B is less open than A","A talks about their feelings while B does not, so B is more open than A",Statement 1 follows commonsense,,
39HYCOOPKOGIUX5ZVJ61XPQMS7GDM0,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3UN61F00HXKGAK1RBNP19WSS55T5R4,A1GASF35DM5ZD6,Submitted,Thu Nov 05 17:14:53 PST 2020,Thu Nov 05 17:15:06 PST 2020,Sun Nov 08 17:15:06 PST 2020,,,,13,0% (0/0),0% (0/0),0% (0/0),"A talks about their feelings while B does not, so B is less open than A","A talks about their feelings while B does not, so B is more open than A",Sentence 2 follows commonsense,,
334ZEL5JX6ACWP9T5PG3KS1ROA5SOO,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,36V4Q8R5ZLVE6Q7XQ7HNL8T9VEGQMD,AD1ILDUXZHASF,Submitted,Thu Nov 05 17:08:58 PST 2020,Thu Nov 05 17:11:49 PST 2020,Sun Nov 08 17:11:49 PST 2020,,,,171,0% (0/0),0% (0/0),0% (0/0),"A loves B so much, so B is not more attached than A","A loves B so much, so B is not less attached than A",Sentence 2 follows commonsense,,
334ZEL5JX6ACWP9T5PG3KS1ROA5SOO,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3PZDLQMM0UGK5LTLB7X8MUQULUZ2CU,A1GASF35DM5ZD6,Submitted,Thu Nov 05 17:12:04 PST 2020,Thu Nov 05 17:12:22 PST 2020,Sun Nov 08 17:12:22 PST 2020,,,,18,0% (0/0),0% (0/0),0% (0/0),"A loves B so much, so B is not more attached than A","A loves B so much, so B is not less attached than A",Neither of them follow commonsense,,
3MIVREZQVHTHTI91FTZ5IB5HMHAQKD,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3CN4LGXD5YJ7B29DBDYLC0FB8WD4Y0,A12ATVBE1I4567,Submitted,Thu Nov 05 17:12:50 PST 2020,Thu Nov 05 17:18:04 PST 2020,Sun Nov 08 17:18:04 PST 2020,,,,314,0% (0/0),0% (0/0),0% (0/0),"A takes another person to the disney world while B does not, so B is less social than A","A takes another person to the disney world while B does not, so B is more social than A",Statement 1 follows commonsense,,
3MIVREZQVHTHTI91FTZ5IB5HMHAQKD,31WLO1EP3YTY7SUSEUEOTDPIRQJSQF,Verify commonsense statements,"Given two commonsense statement, verify their correctness","commonsense, verify, correctness",$0.08 ,Thu Nov 05 17:05:28 PST 2020,2,BatchId:4242296;OriginalHitTemplateId:928390909;,600,259200,Thu Nov 12 17:05:28 PST 2020,,,3K772S5NP963H9GHQJ6AZMWZVPUEHH,A12TSLY8GXWHB4,Submitted,Thu Nov 05 17:16:09 PST 2020,Thu Nov 05 17:21:23 PST 2020,Sun Nov 08 17:21:23 PST 2020,,,,314,0% (0/0),0% (0/0),0% (0/0),"A takes another person to the disney world while B does not, so B is less social than A","A takes another person to the disney world while B does not, so B is more social than A",Statement 1 follows commonsense,,
