truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
767,original,original,0.0,-0.07528860644783725
767,original,asymmetric_premise,0.0,-0.07632877472019207
767,original,asymmetric_conclusion,1.0,0.058404658479330455
767,negation,original,1.0,0.09688598517499869
767,negation,asymmetric_premise,0.0,-0.1337385932690931
767,negation,asymmetric_conclusion,0.0,-0.10964010404921642
768,original,original,1.0,0.07127386161505572
768,original,asymmetric_premise,0.0,-0.0489986636403898
768,original,asymmetric_conclusion,0.0,-0.06531938510941622
768,negation,original,1.0,0.10511171873651164
768,negation,asymmetric_premise,0.0,-0.1229525801429407
768,negation,asymmetric_conclusion,0.0,-0.12464159393391819
769,original,original,1.0,0.011882461113975932
769,original,asymmetric_premise,1.0,0.011649081638077497
769,original,asymmetric_conclusion,1.0,0.014527967562552518
769,negation,original,1.0,0.13862560936824947
769,negation,asymmetric_premise,0.0,-0.12781775434013568
769,negation,asymmetric_conclusion,0.0,-0.13992877526586048
770,original,original,1.0,0.10270799472854128
770,original,asymmetric_premise,0.0,-0.09671994754017914
770,original,asymmetric_conclusion,0.0,-0.08049108059809149
770,negation,original,1.0,0.14879280467103934
770,negation,asymmetric_premise,0.0,-0.14706781605218205
770,negation,asymmetric_conclusion,0.0,-0.15024727622249454
771,original,original,1.0,0.09127651485326232
771,original,asymmetric_premise,0.0,-0.08224417043201493
771,original,asymmetric_conclusion,0.0,-0.0786168887894083
771,negation,original,1.0,0.14763319462897717
771,negation,asymmetric_premise,0.0,-0.14231244645155805
771,negation,asymmetric_conclusion,0.0,-0.1487345191144493
772,original,original,1.0,0.06789878314230392
772,original,asymmetric_premise,0.0,-0.04247064115575641
772,original,asymmetric_conclusion,0.0,-0.042826904570154666
772,negation,original,1.0,0.14362146827020905
772,negation,asymmetric_premise,0.0,-0.151900481134846
772,negation,asymmetric_conclusion,0.0,-0.15622282149644717
773,original,original,1.0,0.09077454610590197
773,original,asymmetric_premise,0.0,-0.07981808523225752
773,original,asymmetric_conclusion,0.0,-0.06673796251833912
773,negation,original,1.0,0.10173621043357883
773,negation,asymmetric_premise,0.0,-0.11689785721809261
773,negation,asymmetric_conclusion,0.0,-0.1156701410980837
774,original,original,1.0,0.07501834439202197
774,original,asymmetric_premise,0.0,-0.07558374842437433
774,original,asymmetric_conclusion,0.0,-0.07745504118176418
774,negation,original,1.0,0.14866690657413295
774,negation,asymmetric_premise,0.0,-0.15873574338114085
774,negation,asymmetric_conclusion,0.0,-0.1558980952504145
775,original,original,1.0,0.0675603578627182
775,original,asymmetric_premise,0.0,-0.054957748670156924
775,original,asymmetric_conclusion,0.0,-0.03736234183989726
775,negation,original,1.0,0.12202472155402246
775,negation,asymmetric_premise,0.0,-0.13571315039730608
775,negation,asymmetric_conclusion,0.0,-0.10336258241352858
