truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
767,original,original,0.0,-0.2711677786280116
767,original,asymmetric_premise,0.0,-0.0949338188216793
767,original,asymmetric_conclusion,1.0,0.07320042915860289
767,negation,original,1.0,0.23979933649894292
767,negation,asymmetric_premise,0.0,-0.27126452447847255
767,negation,asymmetric_conclusion,0.0,-0.2691467945892233
768,original,original,1.0,0.12053702625435164
768,original,asymmetric_premise,0.0,-0.1174295216969568
768,original,asymmetric_conclusion,0.0,-0.046086304744989565
768,negation,original,1.0,0.2210296239582742
768,negation,asymmetric_premise,0.0,-0.2403792238132637
768,negation,asymmetric_conclusion,0.0,-0.2523488134220424
769,original,original,1.0,0.19324731646871732
769,original,asymmetric_premise,0.0,-0.16395515863665353
769,original,asymmetric_conclusion,0.0,-0.15991662908314339
769,negation,original,1.0,0.24138491326545725
769,negation,asymmetric_premise,0.0,-0.267666904748821
769,negation,asymmetric_conclusion,0.0,-0.30274719573837294
770,original,original,1.0,0.25934085392022543
770,original,asymmetric_premise,0.0,-0.17921951456990212
770,original,asymmetric_conclusion,0.0,-0.19576611063846505
770,negation,original,1.0,0.32448243280214023
770,negation,asymmetric_premise,0.0,-0.31898936505549746
770,negation,asymmetric_conclusion,0.0,-0.3240004683148327
771,original,original,1.0,0.20638704897151597
771,original,asymmetric_premise,0.0,-0.15085241553603046
771,original,asymmetric_conclusion,0.0,-0.1338132877059107
771,negation,original,1.0,0.24288933424656797
771,negation,asymmetric_premise,0.0,-0.2695580798936848
771,negation,asymmetric_conclusion,0.0,-0.28908069486879917
772,original,original,1.0,0.19466990175347582
772,original,asymmetric_premise,0.0,-0.15300268963535796
772,original,asymmetric_conclusion,0.0,-0.14750445352217076
772,negation,original,1.0,0.2541313876828713
772,negation,asymmetric_premise,0.0,-0.2672728802540228
772,negation,asymmetric_conclusion,0.0,-0.278880098031503
773,original,original,1.0,0.33198861243980293
773,original,asymmetric_premise,0.0,-0.21928119283641126
773,original,asymmetric_conclusion,0.0,-0.09453498010108576
773,negation,original,1.0,0.2692518364675596
773,negation,asymmetric_premise,0.0,-0.24908604318643646
773,negation,asymmetric_conclusion,0.0,-0.2557192783597293
774,original,original,1.0,0.15803587381407008
774,original,asymmetric_premise,0.0,-0.05219860767252433
774,original,asymmetric_conclusion,0.0,-0.15233880171481945
774,negation,original,1.0,0.30129788645365857
774,negation,asymmetric_premise,0.0,-0.3244615276990457
774,negation,asymmetric_conclusion,0.0,-0.3039815469571545
775,original,original,1.0,0.23397510851465342
775,original,asymmetric_premise,0.0,-0.08289913990823763
775,original,asymmetric_conclusion,0.0,-0.07570725370947722
775,negation,original,1.0,0.21297141874393513
775,negation,asymmetric_premise,0.0,-0.2990580294483229
775,negation,asymmetric_conclusion,0.0,-0.23273318347169003
776,original,original,1.0,0.4544376219143586
776,original,asymmetric_premise,0.0,-0.11884594522709564
776,original,asymmetric_conclusion,0.0,-0.18967374799296188
776,negation,original,1.0,0.32449971127052846
776,negation,asymmetric_premise,0.0,-0.30748095425475586
776,negation,asymmetric_conclusion,0.0,-0.29981420196336256
777,original,original,0.0,-0.22943296381712533
777,original,asymmetric_premise,0.0,-0.09811019802577267
777,original,asymmetric_conclusion,0.0,-0.2070940998122292
777,negation,original,1.0,0.30565241978588575
777,negation,asymmetric_premise,0.0,-0.32783720040175063
777,negation,asymmetric_conclusion,0.0,-0.34784804204716524
778,original,original,1.0,0.31884051704302707
778,original,asymmetric_premise,0.0,-0.20729741108726815
778,original,asymmetric_conclusion,0.0,-0.19729081542923846
778,negation,original,1.0,0.28099482567201334
778,negation,asymmetric_premise,0.0,-0.28077917066840546
778,negation,asymmetric_conclusion,0.0,-0.2828769755530464
779,original,original,1.0,0.16819323852925083
779,original,asymmetric_premise,0.0,-0.10247916288505854
779,original,asymmetric_conclusion,0.0,-0.08574881294672596
779,negation,original,1.0,0.2640850942371426
779,negation,asymmetric_premise,0.0,-0.2942047812748855
779,negation,asymmetric_conclusion,0.0,-0.34743407283933814
780,original,original,1.0,0.1856948649898047
780,original,asymmetric_premise,0.0,-0.23914555048361089
780,original,asymmetric_conclusion,0.0,-0.1765143445689467
780,negation,original,1.0,0.29408586779712376
780,negation,asymmetric_premise,0.0,-0.3246176683607402
780,negation,asymmetric_conclusion,0.0,-0.29854646669782703
781,original,original,1.0,0.2028387440604484
781,original,asymmetric_premise,0.0,-0.06944024670492266
781,original,asymmetric_conclusion,1.0,0.14889561787230388
781,negation,original,1.0,0.27945892956610924
781,negation,asymmetric_premise,0.0,-0.3211186267041272
781,negation,asymmetric_conclusion,0.0,-0.29387480662607524
782,original,original,1.0,0.2664730457994831
782,original,asymmetric_premise,0.0,-0.11963070633570694
782,original,asymmetric_conclusion,0.0,-0.15114294479119175
782,negation,original,0.0,-0.28097506213758355
782,negation,asymmetric_premise,0.0,-0.2706141456913469
782,negation,asymmetric_conclusion,0.0,-0.25579303288227256
783,original,original,1.0,0.22773486694835363
783,original,asymmetric_premise,0.0,-0.10836110840229982
783,original,asymmetric_conclusion,0.0,-0.12375110387676719
783,negation,original,1.0,0.2838630502069464
783,negation,asymmetric_premise,0.0,-0.3148850691331151
783,negation,asymmetric_conclusion,0.0,-0.3578201145332287
784,original,original,1.0,0.26400480404939836
784,original,asymmetric_premise,0.0,-0.16131023786209717
784,original,asymmetric_conclusion,0.0,-0.21322950757176398
784,negation,original,1.0,0.2332177352499675
784,negation,asymmetric_premise,0.0,-0.27413700204356806
784,negation,asymmetric_conclusion,0.0,-0.3208078920314394
785,original,original,1.0,0.2000771405449314
785,original,asymmetric_premise,1.0,0.09967616195510097
785,original,asymmetric_conclusion,0.0,-0.14022819663122463
785,negation,original,1.0,0.251398477553586
