truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
767,original,original,0.0,-0.13551188125991098
767,original,asymmetric_premise,0.0,-0.08601339894534
767,original,asymmetric_conclusion,1.0,0.03984296010434859
767,negation,original,1.0,0.16275565936316932
767,negation,asymmetric_premise,0.0,-0.23539802097026438
767,negation,asymmetric_conclusion,0.0,-0.21900633366068295
768,original,original,1.0,0.11519424704956041
768,original,asymmetric_premise,0.0,-0.10310854222500893
768,original,asymmetric_conclusion,0.0,-0.09305797397467411
768,negation,original,1.0,0.18492474116536697
768,negation,asymmetric_premise,0.0,-0.2231683666414487
768,negation,asymmetric_conclusion,0.0,-0.20313340293019982
769,original,original,1.0,0.10888815767847378
769,original,asymmetric_premise,0.0,-0.07721141265249597
769,original,asymmetric_conclusion,0.0,-0.0539612622788036
769,negation,original,1.0,0.20768801054144376
769,negation,asymmetric_premise,0.0,-0.22417307986971305
769,negation,asymmetric_conclusion,0.0,-0.23614579479809536
770,original,original,1.0,0.19804318973755974
770,original,asymmetric_premise,0.0,-0.1827220191606314
770,original,asymmetric_conclusion,0.0,-0.10382203772766456
770,negation,original,1.0,0.23572454493298914
770,negation,asymmetric_premise,0.0,-0.26190864953228915
770,negation,asymmetric_conclusion,0.0,-0.26535239496447016
771,original,original,1.0,0.12098646957609267
771,original,asymmetric_premise,0.0,-0.0839375670418126
771,original,asymmetric_conclusion,0.0,-0.05488120943985672
771,negation,original,1.0,0.22895564886869302
771,negation,asymmetric_premise,0.0,-0.2540954809759805
771,negation,asymmetric_conclusion,0.0,-0.2542912866833768
772,original,original,1.0,0.10045813324697984
772,original,asymmetric_premise,0.0,-0.034226871066714695
772,original,asymmetric_conclusion,0.0,-0.01817050235375833
772,negation,original,1.0,0.22080284115640114
772,negation,asymmetric_premise,0.0,-0.25693684882061096
772,negation,asymmetric_conclusion,0.0,-0.26561057613189015
773,original,original,1.0,0.13096844821478723
773,original,asymmetric_premise,0.0,-0.06464371106057308
773,original,asymmetric_conclusion,0.0,-0.100589590453729
773,negation,original,1.0,0.19065658837508928
773,negation,asymmetric_premise,0.0,-0.2109714779459921
773,negation,asymmetric_conclusion,0.0,-0.23065996701177208
774,original,original,1.0,0.13251469999639592
774,original,asymmetric_premise,0.0,-0.10088954517726695
774,original,asymmetric_conclusion,0.0,-0.10769543613897382
774,negation,original,1.0,0.22199953068480963
774,negation,asymmetric_premise,0.0,-0.2548284187069285
774,negation,asymmetric_conclusion,0.0,-0.2444970520377038
775,original,original,1.0,0.1560907019942739
775,original,asymmetric_premise,0.0,-0.08218402143616278
775,original,asymmetric_conclusion,0.0,-0.11977405777521392
775,negation,original,1.0,0.1579628792562819
775,negation,asymmetric_premise,0.0,-0.22999055739681215
775,negation,asymmetric_conclusion,0.0,-0.15970172419162873
776,original,original,1.0,0.1552645960635851
776,original,asymmetric_premise,0.0,-0.14327633679915536
776,original,asymmetric_conclusion,0.0,-0.10841553607501518
776,negation,original,1.0,0.22231548312142838
776,negation,asymmetric_premise,0.0,-0.2322173888190767
776,negation,asymmetric_conclusion,0.0,-0.22780245582829448
777,original,original,0.0,-0.1967616773225833
777,original,asymmetric_premise,0.0,-0.15958020910362036
777,original,asymmetric_conclusion,0.0,-0.20162177338201023
777,negation,original,1.0,0.2395912453002678
777,negation,asymmetric_premise,0.0,-0.27326888639974567
777,negation,asymmetric_conclusion,0.0,-0.2524461418091498
778,original,original,1.0,0.1416097363504281
778,original,asymmetric_premise,0.0,-0.05875226795009888
778,original,asymmetric_conclusion,0.0,-0.07074605519574974
778,negation,original,1.0,0.25559582757396176
778,negation,asymmetric_premise,0.0,-0.26399437936436565
778,negation,asymmetric_conclusion,0.0,-0.261105040682037
779,original,original,1.0,0.11626616874311448
779,original,asymmetric_premise,0.0,-0.06738686734249978
779,original,asymmetric_conclusion,0.0,-0.06615024430909094
779,negation,original,1.0,0.2121521200182844
779,negation,asymmetric_premise,0.0,-0.24907217831279185
779,negation,asymmetric_conclusion,0.0,-0.2476952468082695
780,original,original,1.0,0.1143860706365485
780,original,asymmetric_premise,0.0,-0.07203430703138865
780,original,asymmetric_conclusion,0.0,-0.03373415262403856
780,negation,original,1.0,0.24361408310828836
780,negation,asymmetric_premise,0.0,-0.28587718500685944
780,negation,asymmetric_conclusion,0.0,-0.26874005629469266
781,original,original,1.0,0.17668596484259944
781,original,asymmetric_premise,0.0,-0.1075662962992865
781,original,asymmetric_conclusion,0.0,-0.07634584082420129
781,negation,original,1.0,0.23877822040208765
781,negation,asymmetric_premise,0.0,-0.2546542972221858
781,negation,asymmetric_conclusion,0.0,-0.2581355791885657
782,original,original,1.0,0.1694669320635242
782,original,asymmetric_premise,0.0,-0.1511464393708004
782,original,asymmetric_conclusion,0.0,-0.14803384596825514
782,negation,original,0.0,-0.25616487964709866
782,negation,asymmetric_premise,0.0,-0.28278090158887365
782,negation,asymmetric_conclusion,0.0,-0.259305494659883
783,original,original,1.0,0.15010162517520118
783,original,asymmetric_premise,0.0,-0.10867423534100393
783,original,asymmetric_conclusion,0.0,-0.09976255543394295
783,negation,original,1.0,0.247443689145423
783,negation,asymmetric_premise,0.0,-0.261284762459693
783,negation,asymmetric_conclusion,0.0,-0.26907514129733406
784,original,original,1.0,0.14426073313180632
784,original,asymmetric_premise,0.0,-0.1334885080493268
784,original,asymmetric_conclusion,0.0,-0.1250984394848683
784,negation,original,1.0,0.22485567789753935
784,negation,asymmetric_premise,0.0,-0.25051938727770423
784,negation,asymmetric_conclusion,0.0,-0.25071892233793996
785,original,original,1.0,0.1254570255031701
785,original,asymmetric_premise,1.0,0.07797615710878568
785,original,asymmetric_conclusion,0.0,-0.05596981194472757
785,negation,original,1.0,0.26136761942850184
785,negation,asymmetric_premise,0.0,-0.2740168246303501
785,negation,asymmetric_conclusion,0.0,-0.2814651274252905
786,original,original,1.0,0.14001619679771005
786,original,asymmetric_premise,0.0,-0.1027393697941988
786,original,asymmetric_conclusion,0.0,-0.12265106721015955
786,negation,original,1.0,0.22384675875307994
786,negation,asymmetric_premise,0.0,-0.19142705921918043
786,negation,asymmetric_conclusion,0.0,-0.23537167154614846
787,original,original,1.0,0.16314788771188377
787,original,asymmetric_premise,0.0,-0.08707540702655076
787,original,asymmetric_conclusion,0.0,-0.07160191175742617
787,negation,original,1.0,0.2711174156057512
787,negation,asymmetric_premise,0.0,-0.27727708810709323
787,negation,asymmetric_conclusion,0.0,-0.2733116850641695
788,original,original,1.0,0.08341079981150788
788,original,asymmetric_premise,0.0,-0.03199295738209635
788,original,asymmetric_conclusion,0.0,-0.018779453883268876
788,negation,original,1.0,0.21867854532745062
788,negation,asymmetric_premise,0.0,-0.23230941598594473
788,negation,asymmetric_conclusion,0.0,-0.23799949761598196
789,original,original,1.0,0.1511541274326409
789,original,asymmetric_premise,0.0,-0.15583691453978618
789,original,asymmetric_conclusion,0.0,-0.11652769827068735
789,negation,original,1.0,0.2320112148333245
789,negation,asymmetric_premise,0.0,-0.22986568218959047
789,negation,asymmetric_conclusion,0.0,-0.23572184288399367
790,original,original,0.0,-0.13286626541234273
790,original,asymmetric_premise,0.0,-0.11472159404784897
790,original,asymmetric_conclusion,0.0,-0.1254769720622977
790,negation,original,1.0,0.24602144884097482
790,negation,asymmetric_premise,0.0,-0.24116217004599674
790,negation,asymmetric_conclusion,1.0,0.23990359853393012
791,original,original,1.0,0.15553099306036758
791,original,asymmetric_premise,0.0,-0.08884048538703174
791,original,asymmetric_conclusion,0.0,-0.11789740600556052
791,negation,original,1.0,0.2174323183530839
791,negation,asymmetric_premise,0.0,-0.23956832246115928
791,negation,asymmetric_conclusion,0.0,-0.23983731188936244
792,original,original,1.0,0.08460584281191988
792,original,asymmetric_premise,0.0,-0.025544806959612656
792,original,asymmetric_conclusion,0.0,-0.014901726943803408
792,negation,original,1.0,0.26779505410327414
792,negation,asymmetric_premise,0.0,-0.28315419826783494
792,negation,asymmetric_conclusion,0.0,-0.287339651116962
793,original,original,1.0,0.14893874716847016
793,original,asymmetric_premise,0.0,-0.1159357059558053
793,original,asymmetric_conclusion,0.0,-0.11346006969797823
793,negation,original,1.0,0.228936671458596
793,negation,asymmetric_premise,0.0,-0.25194337238771775
793,negation,asymmetric_conclusion,0.0,-0.27129964319159067
794,original,original,1.0,0.20292744276193983
