truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
767,original,original,0.0,-0.06400050735669996
767,original,asymmetric_premise,0.0,-0.07087296958159268
767,original,asymmetric_conclusion,1.0,0.09514267718560372
767,negation,original,0.0,-0.10535905008361021
767,negation,asymmetric_premise,1.0,0.09244578220767324
767,negation,asymmetric_conclusion,1.0,0.10555780167381602
768,original,original,1.0,0.04382281336094527
768,original,asymmetric_premise,0.0,-0.03858723632243956
768,original,asymmetric_conclusion,0.0,-0.04575750511665189
768,negation,original,0.0,-0.026246717054622348
768,negation,asymmetric_premise,1.0,0.029125556779798015
768,negation,asymmetric_conclusion,1.0,0.026580270188892214
769,original,original,0.0,-0.060135910950844945
769,original,asymmetric_premise,0.0,-0.011939435070284768
769,original,asymmetric_conclusion,1.0,0.0004656314513337427
769,negation,original,0.0,-0.053005799014989724
769,negation,asymmetric_premise,1.0,0.06691977551210115
769,negation,asymmetric_conclusion,1.0,0.0565195295739506
770,original,original,1.0,0.05580082576126912
770,original,asymmetric_premise,0.0,-0.05271764316712723
770,original,asymmetric_conclusion,0.0,-0.05713076201702145
770,negation,original,0.0,-0.05766567410287158
770,negation,asymmetric_premise,1.0,0.0733823139150144
770,negation,asymmetric_conclusion,1.0,0.04960443972949427
771,original,original,1.0,0.0866253554322038
771,original,asymmetric_premise,0.0,-0.11725175900604685
771,original,asymmetric_conclusion,0.0,-0.08886319287644152
771,negation,original,0.0,-0.04820375088255004
771,negation,asymmetric_premise,1.0,0.05401831594600935
771,negation,asymmetric_conclusion,1.0,0.05556433480870421
772,original,original,1.0,0.0469703501175428
772,original,asymmetric_premise,0.0,-0.04798086936594554
772,original,asymmetric_conclusion,0.0,-0.04556026816080346
772,negation,original,0.0,-0.06415270618958092
772,negation,asymmetric_premise,1.0,0.06930144303325655
772,negation,asymmetric_conclusion,1.0,0.05998149786645574
773,original,original,1.0,0.05303884602827674
773,original,asymmetric_premise,0.0,-0.04366718599394432
773,original,asymmetric_conclusion,0.0,-0.05014049854980934
773,negation,original,0.0,-0.029383304905561874
773,negation,asymmetric_premise,1.0,0.023660772905352526
773,negation,asymmetric_conclusion,1.0,0.03231687139302011
774,original,original,1.0,0.007126210695838427
774,original,asymmetric_premise,1.0,0.00715028974532528
774,original,asymmetric_conclusion,1.0,0.015794632493405996
774,negation,original,0.0,-0.04870040018606052
774,negation,asymmetric_premise,1.0,0.04450193287395011
774,negation,asymmetric_conclusion,1.0,0.021976031618045823
775,original,original,1.0,0.049043140776485215
775,original,asymmetric_premise,0.0,-0.0628844503784567
775,original,asymmetric_conclusion,0.0,-0.0374782891014898
775,negation,original,0.0,-0.03909215927967828
775,negation,asymmetric_premise,1.0,0.029789929156779676
775,negation,asymmetric_conclusion,1.0,0.03992674993875465
776,original,original,1.0,0.022686402945345418
776,original,asymmetric_premise,0.0,-0.0831685895981732
776,original,asymmetric_conclusion,0.0,-0.08145697650632878
776,negation,original,0.0,-0.07912203531137972
776,negation,asymmetric_premise,1.0,0.08830801564841426
776,negation,asymmetric_conclusion,1.0,0.0774934331615245
777,original,original,0.0,-0.055533911398827386
777,original,asymmetric_premise,0.0,-0.08145366079281945
777,original,asymmetric_conclusion,0.0,-0.0696025368186849
777,negation,original,0.0,-0.05030411679724214
777,negation,asymmetric_premise,1.0,0.01596339028518074
777,negation,asymmetric_conclusion,1.0,0.05859664140618572
778,original,original,1.0,0.0417861663167343
778,original,asymmetric_premise,0.0,-0.06006725687284474
778,original,asymmetric_conclusion,0.0,-0.027535390418727372
778,negation,original,0.0,-0.053073081660530104
778,negation,asymmetric_premise,1.0,0.06745450777065963
778,negation,asymmetric_conclusion,1.0,0.06599903472885384
779,original,original,1.0,0.04457522012850854
779,original,asymmetric_premise,0.0,-0.03779731741677072
779,original,asymmetric_conclusion,0.0,-0.05926878500665258
779,negation,original,1.0,0.011708678152986044
779,negation,asymmetric_premise,1.0,0.004155135083327474
779,negation,asymmetric_conclusion,0.0,-0.012866025463681107
780,original,original,1.0,0.06847948067229587
780,original,asymmetric_premise,0.0,-0.0531605721537218
780,original,asymmetric_conclusion,0.0,-0.057310891577700536
780,negation,original,0.0,-0.04853556665264094
780,negation,asymmetric_premise,1.0,0.03612995374993114
780,negation,asymmetric_conclusion,1.0,0.03427878533666043
781,original,original,1.0,0.08546196723581058
781,original,asymmetric_premise,0.0,-0.0811964506703771
781,original,asymmetric_conclusion,0.0,-0.07173640072670365
781,negation,original,0.0,-0.00925395297817402
781,negation,asymmetric_premise,1.0,0.023299053034682965
781,negation,asymmetric_conclusion,1.0,0.019134808230358652
782,original,original,1.0,0.013197609382283326
782,original,asymmetric_premise,0.0,-0.02587670449358621
782,original,asymmetric_conclusion,0.0,-0.03707782633578115
782,negation,original,0.0,-0.02173057775945918
782,negation,asymmetric_premise,1.0,0.01892793585933585
782,negation,asymmetric_conclusion,0.0,-0.0031347172102507417
783,original,original,1.0,0.09511290829222484
783,original,asymmetric_premise,0.0,-0.08162275988142037
783,original,asymmetric_conclusion,0.0,-0.05239476504905621
783,negation,original,0.0,-0.07143041675609908
783,negation,asymmetric_premise,1.0,0.05979334758289582
783,negation,asymmetric_conclusion,1.0,0.05620890646501847
784,original,original,1.0,0.0323928473019832
784,original,asymmetric_premise,0.0,-0.05340473287732989
784,original,asymmetric_conclusion,0.0,-0.054485429547397074
784,negation,original,0.0,-0.04765070099130447
784,negation,asymmetric_premise,1.0,0.04989292570945107
784,negation,asymmetric_conclusion,1.0,0.056878859562415916
785,original,original,1.0,0.03815728638017541
785,original,asymmetric_premise,1.0,0.02740793274304356
785,original,asymmetric_conclusion,0.0,-0.05195940910735173
785,negation,original,0.0,-0.028943320321989964
785,negation,asymmetric_premise,1.0,0.05174089148876641
785,negation,asymmetric_conclusion,1.0,0.026950983724586573
786,original,original,1.0,0.026252673412062742
786,original,asymmetric_premise,0.0,-0.011138693738814563
786,original,asymmetric_conclusion,1.0,0.006834877391017241
786,negation,original,1.0,0.03666044670300665
786,negation,asymmetric_premise,1.0,0.0444003292970455
786,negation,asymmetric_conclusion,0.0,-0.027148964594275998
787,original,original,1.0,0.05782749572799426
787,original,asymmetric_premise,0.0,-0.05933744565392401
787,original,asymmetric_conclusion,0.0,-0.06284170462564534
787,negation,original,0.0,-0.06465463247740186
787,negation,asymmetric_premise,1.0,0.07394833075335105
787,negation,asymmetric_conclusion,1.0,0.07762898818925283
788,original,original,1.0,0.04617456980764584
788,original,asymmetric_premise,0.0,-0.03178479144420565
788,original,asymmetric_conclusion,0.0,-0.029644860469177678
788,negation,original,0.0,-0.03431807812442195
788,negation,asymmetric_premise,1.0,0.040099326662293135
788,negation,asymmetric_conclusion,1.0,0.02995000349334538
789,original,original,1.0,0.04762881626341907
789,original,asymmetric_premise,0.0,-0.039040977518020534
789,original,asymmetric_conclusion,0.0,-0.05598026949357759
789,negation,original,0.0,-0.031186001342081847
789,negation,asymmetric_premise,1.0,0.016974725851131318
789,negation,asymmetric_conclusion,1.0,0.04161765951531074
790,original,original,0.0,-0.12133461897244083
790,original,asymmetric_premise,0.0,-0.12496724703107882
790,original,asymmetric_conclusion,0.0,-0.1262221965336771
790,negation,original,0.0,-0.029363533237179253
790,negation,asymmetric_premise,1.0,0.04251585888949021
790,negation,asymmetric_conclusion,0.0,-0.03771708489892855
791,original,original,1.0,0.07585493548229427
791,original,asymmetric_premise,0.0,-0.09183683025155792
791,original,asymmetric_conclusion,0.0,-0.08909215489589266
791,negation,original,0.0,-0.05445001057041365
791,negation,asymmetric_premise,1.0,0.04287711851309556
791,negation,asymmetric_conclusion,1.0,0.043028472972677895
792,original,original,1.0,0.07488842502284945
792,original,asymmetric_premise,0.0,-0.05032385544416178
792,original,asymmetric_conclusion,0.0,-0.03934925525293762
792,negation,original,0.0,-0.058659367562369016
792,negation,asymmetric_premise,1.0,0.06630667300073455
792,negation,asymmetric_conclusion,1.0,0.06715522385375253
793,original,original,1.0,0.08604321735869187
793,original,asymmetric_premise,0.0,-0.09756991824222055
793,original,asymmetric_conclusion,0.0,-0.06644956859292227
793,negation,original,0.0,-0.07718747588853672
793,negation,asymmetric_premise,1.0,0.08125660944084971
793,negation,asymmetric_conclusion,1.0,0.08411559193640293
794,original,original,1.0,0.06105306510148161
794,original,asymmetric_premise,0.0,-0.0692174477130475
794,original,asymmetric_conclusion,0.0,-0.04537706539340956
794,negation,original,0.0,-0.03336716316377376
794,negation,asymmetric_premise,1.0,0.04821112468219146
794,negation,asymmetric_conclusion,1.0,0.031709527107357395
795,original,original,1.0,0.06928791842939125
795,original,asymmetric_premise,0.0,-0.0455010250031731
795,original,asymmetric_conclusion,0.0,-0.047982534453715454
795,negation,original,0.0,-0.040918854738883605
795,negation,asymmetric_premise,1.0,0.03886124459446028
795,negation,asymmetric_conclusion,1.0,0.045567643792541926
796,original,original,1.0,0.0336174600070811
