[{'word': 'easier', 'softmax': 0.9999999403953552}, {'word': 'harder', 'softmax': 6.625523241154951e-09}]
[{'word': 'easier', 'softmax': 0.9999999403953552}, {'word': 'harder', 'softmax': 7.020005465818713e-09}]
[{'word': 'easier', 'softmax': 0.9999998807907104}, {'word': 'harder', 'softmax': 7.766021603572426e-09}]
[{'word': 'harder', 'softmax': 0.999999463558197}, {'word': 'easier', 'softmax': 2.321521641590607e-09}]
[{'word': 'harder', 'softmax': 0.9999995827674866}, {'word': 'easier', 'softmax': 4.364509198495625e-09}]
[{'word': 'harder', 'softmax': 0.9999995231628418}, {'word': 'easier', 'softmax': 2.9396753919996854e-09}]
[{'word': 'harder', 'softmax': 0.999999463558197}, {'word': 'easier', 'softmax': 3.7061882451894235e-09}]
[{'word': 'harder', 'softmax': 0.9999995231628418}, {'word': 'easier', 'softmax': 2.312559255202018e-09}]
[{'word': 'harder', 'softmax': 0.9999995827674866}, {'word': 'easier', 'softmax': 3.5720060242994123e-09}]
[{'word': 'harder', 'softmax': 0.9999990463256836}, {'word': 'easier', 'softmax': 2.6336211433886092e-08}]
[{'word': 'harder', 'softmax': 0.9999990463256836}, {'word': 'easier', 'softmax': 2.3547096716924898e-08}]
[{'word': 'harder', 'softmax': 0.9999989867210388}, {'word': 'easier', 'softmax': 2.1530274452175036e-08}]
[{'word': 'easier', 'softmax': 0.9999994039535522}, {'word': 'harder', 'softmax': 1.0949251283420836e-08}]
[{'word': 'easier', 'softmax': 0.9999997019767761}, {'word': 'harder', 'softmax': 8.58984172680266e-09}]
[{'word': 'easier', 'softmax': 0.9999995231628418}, {'word': 'harder', 'softmax': 9.398890554734862e-09}]
[{'word': 'easier', 'softmax': 0.9999996423721313}, {'word': 'harder', 'softmax': 8.59046433987487e-09}]
[{'word': 'easier', 'softmax': 0.9999997019767761}, {'word': 'harder', 'softmax': 7.27576798809082e-09}]
[{'word': 'easier', 'softmax': 0.9999997019767761}, {'word': 'harder', 'softmax': 1.1549726508519598e-08}]
[{'word': 'harder', 'softmax': 0.999999463558197}, {'word': 'easier', 'softmax': 1.6479142495029464e-09}]
[{'word': 'harder', 'softmax': 0.9999995231628418}, {'word': 'easier', 'softmax': 1.4112467860982747e-09}]
[{'word': 'harder', 'softmax': 0.9999997615814209}, {'word': 'easier', 'softmax': 2.2667927535025e-09}]
[{'word': 'easier', 'softmax': 0.9999995231628418}, {'word': 'harder', 'softmax': 1.6723972207088877e-09}]
[{'word': 'easier', 'softmax': 0.9999994039535522}, {'word': 'harder', 'softmax': 1.789169368215937e-09}]
[{'word': 'easier', 'softmax': 0.9999995231628418}, {'word': 'harder', 'softmax': 4.350097615457571e-09}]
[{'word': 'easier', 'softmax': 0.9999992251396179}, {'word': 'harder', 'softmax': 1.6085184295633326e-09}]
[{'word': 'easier', 'softmax': 0.999999463558197}, {'word': 'harder', 'softmax': 1.996190990283253e-09}]
[{'word': 'easier', 'softmax': 0.9999997019767761}, {'word': 'harder', 'softmax': 1.901098833911874e-09}]
[{'word': 'more', 'softmax': 0.9999995827674866}, {'word': 'less', 'softmax': 1.8160578463266575e-07}]
[{'word': 'more', 'softmax': 0.9999994039535522}, {'word': 'less', 'softmax': 1.7062036761217314e-07}]
[{'word': 'more', 'softmax': 0.9999995827674866}, {'word': 'less', 'softmax': 1.4288698935160937e-07}]
[{'word': 'less', 'softmax': 0.9999998807907104}, {'word': 'more', 'softmax': 5.688444382201396e-09}]
[{'word': 'less', 'softmax': 0.9999999403953552}, {'word': 'more', 'softmax': 4.362080474606955e-09}]
[{'word': 'less', 'softmax': 0.9999998807907104}, {'word': 'more', 'softmax': 4.742459314144298e-09}]
[{'word': 'less', 'softmax': 0.9999999403953552}, {'word': 'more', 'softmax': 4.599039815644801e-09}]
[{'word': 'less', 'softmax': 0.9999998807907104}, {'word': 'more', 'softmax': 6.1084466373984014e-09}]
[{'word': 'less', 'softmax': 0.9999999403953552}, {'word': 'more', 'softmax': 4.6003205689260085e-09}]
[{'word': 'harder', 'softmax': 0.9999997019767761}, {'word': 'easier', 'softmax': 1.0965925945072286e-09}]
[{'word': 'harder', 'softmax': 0.9999996423721313}, {'word': 'easier', 'softmax': 1.7317230982527576e-09}]
[{'word': 'harder', 'softmax': 0.9999997019767761}, {'word': 'easier', 'softmax': 9.720277915903353e-10}]
[{'word': 'easier', 'softmax': 0.9999991059303284}, {'word': 'harder', 'softmax': 5.19800591458619e-10}]
[{'word': 'easier', 'softmax': 0.9999986886978149}, {'word': 'harder', 'softmax': 3.412199967023355e-10}]
[{'word': 'easier', 'softmax': 0.9999992847442627}, {'word': 'harder', 'softmax': 5.987572659904572e-10}]
[{'word': 'easier', 'softmax': 0.9999990463256836}, {'word': 'harder', 'softmax': 5.249036205690061e-10}]
[{'word': 'easier', 'softmax': 0.9999992251396179}, {'word': 'harder', 'softmax': 4.2851364123741575e-10}]
