[{'word': 'harder', 'softmax': 0.49255392}, {'word': 'easier', 'softmax': 0.48662427}]
[{'word': 'easier', 'softmax': 0.6113982}, {'word': 'harder', 'softmax': 0.3681383}]
[{'word': 'easier', 'softmax': 0.5210778}, {'word': 'harder', 'softmax': 0.46250165}]
[{'word': 'easier', 'softmax': 0.60183054}, {'word': 'harder', 'softmax': 0.38147208}]
[{'word': 'easier', 'softmax': 0.59354824}, {'word': 'harder', 'softmax': 0.38514927}]
[{'word': 'easier', 'softmax': 0.66211545}, {'word': 'harder', 'softmax': 0.3171809}]
[{'word': 'easier', 'softmax': 0.5307859}, {'word': 'harder', 'softmax': 0.43976593}]
[{'word': 'easier', 'softmax': 0.58697003}, {'word': 'harder', 'softmax': 0.3975738}]
[{'word': 'easier', 'softmax': 0.559166}, {'word': 'harder', 'softmax': 0.41860273}]
[{'word': 'easier', 'softmax': 0.86823857}, {'word': 'harder', 'softmax': 0.102649815}]
[{'word': 'easier', 'softmax': 0.86787605}, {'word': 'harder', 'softmax': 0.10662131}]
[{'word': 'easier', 'softmax': 0.86999977}, {'word': 'harder', 'softmax': 0.1079208}]
[{'word': 'easier', 'softmax': 0.8196639}, {'word': 'harder', 'softmax': 0.14701372}]
[{'word': 'easier', 'softmax': 0.84937024}, {'word': 'harder', 'softmax': 0.127996}]
[{'word': 'easier', 'softmax': 0.6672491}, {'word': 'harder', 'softmax': 0.11234857}]
[{'word': 'easier', 'softmax': 0.8596364}, {'word': 'harder', 'softmax': 0.10163997}]
[{'word': 'easier', 'softmax': 0.8478884}, {'word': 'harder', 'softmax': 0.102726236}]
[{'word': 'easier', 'softmax': 0.82525253}, {'word': 'harder', 'softmax': 0.11165597}]
